# ISO 639 language table used by Nmkoder to name audio and subtitle tracks.
# Generated by .github/scripts/gen-iso639.py - edit that, not this file.
#
# Sources: ISO 639-3 register via pycountry 26.2.16, native names (autonyms)
# via langcodes/language_data 3.5.1, which draws on Unicode CLDR.
#
# The family column is intentionally blank: no register maps languages to families,
# and Aliases.cs stores the field without ever reading it. Kept for column layout.
Family,English Name,Native Name,ISO 639-1,ISO 639-2/T,ISO 639-2/B
,Abkhazian,Аԥсшәа,ab,abk,
,Afar,Afar,aa,aar,
,Afrikaans,Afrikaans,af,afr,
,Akan,Akan,ak,aka,
,Albanian,shqip,sq,sqi,alb
,Amharic,አማርኛ,am,amh,
,Arabic,العربية,ar,ara,
,Aragonese,aragonés,an,arg,
,Armenian,հայերեն,hy,hye,arm
,Assamese,অসমীয়া,as,asm,
,Avaric,Avaric,av,ava,
,Avestan,Avestan,ae,ave,
,Aymara,Aymara,ay,aym,
,Azerbaijani,azərbaycan,az,aze,
,Bambara,bamanakan,bm,bam,
,Bangla,বাংলা,bn,ben,
,Bashkir,башҡорт теле,ba,bak,
,Basque,euskara,eu,eus,baq
,Belarusian,беларуская,be,bel,
,Bislama,Bislama,bi,bis,
,Bosnian,bosanski,bs,bos,
,Breton,brezhoneg,br,bre,
,Bulgarian,български,bg,bul,
,Burmese,မြန်မာ,my,mya,bur
,Catalan,català,ca,cat,
,Chamorro,Chamorro,ch,cha,
,Chechen,нохчийн,ce,che,
,Chichewa,Nyanja,ny,nya,
,Chinese,中文,zh,zho,chi
,Church Slavic,Church Slavic,cu,chu,
,Chuvash,чӑваш,cv,chv,
,Cornish,kernewek,kw,cor,
,Corsican,corsu,co,cos,
,Cree,Cree,cr,cre,
,Croatian,hrvatski,hr,hrv,
,Czech,čeština,cs,ces,cze
,Danish,dansk,da,dan,
,Divehi,Divehi,dv,div,
,Dutch,Nederlands,nl,nld,dut
,Dzongkha,རྫོང་ཁ,dz,dzo,
,English,English,en,eng,
,Esperanto,Esperanto,eo,epo,
,Estonian,eesti,et,est,
,Ewe,eʋegbe,ee,ewe,
,Faroese,føroyskt,fo,fao,
,Fijian,Fijian,fj,fij,
,Finnish,suomi,fi,fin,
,French,français,fr,fra,fre
,Fulah,Pulaar,ff,ful,
,Galician,galego,gl,glg,
,Ganda,Luganda,lg,lug,
,Georgian,ქართული,ka,kat,geo
,German,Deutsch,de,deu,ger
,Guarani,avañe’ẽ,gn,grn,
,Gujarati,ગુજરાતી,gu,guj,
,Haitian,Kreyòl Ayisyen,ht,hat,
,Hausa,Hausa,ha,hau,
,Hebrew,עברית,he,heb,
,Herero,Herero,hz,her,
,Hindi,हिन्दी,hi,hin,
,Hiri Motu,Hiri Motu,ho,hmo,
,Hungarian,magyar,hu,hun,
,Icelandic,íslenska,is,isl,ice
,Ido,Ido,io,ido,
,Igbo,Igbo,ig,ibo,
,Indonesian,bahasa Indonesia,id,ind,
,Interlingua (International Auxiliary Language Association),interlingua,ia,ina,
,Interlingue,Interlingue,ie,ile,
,Inuktitut,Inuktitut,iu,iku,
,Inupiaq,Inupiaq,ik,ipk,
,Irish,Gaeilge,ga,gle,
,Italian,italiano,it,ita,
,Japanese,日本語,ja,jpn,
,Javanese,Jawa,jv,jav,
,Kalaallisut,kalaallisut,kl,kal,
,Kannada,ಕನ್ನಡ,kn,kan,
,Kanuri,Kanuri,kr,kau,
,Kashmiri,کٲشُر,ks,kas,
,Kazakh,қазақ тілі,kk,kaz,
,Khmer,ខ្មែរ,km,khm,
,Kikuyu,Gikuyu,ki,kik,
,Kinyarwanda,Ikinyarwanda,rw,kin,
,Kirghiz,кыргызча,ky,kir,
,Komi,Komi,kv,kom,
,Kongo,Kongo,kg,kon,
,Korean,한국어,ko,kor,
,Kuanyama,Kuanyama,kj,kua,
,Kurdish,kurdî (kurmancî),ku,kur,
,Lao,ລາວ,lo,lao,
,Latin,Lingua latina,la,lat,
,Latvian,latviešu,lv,lav,
,Limburgan,Limburgish,li,lim,
,Lingala,lingála,ln,lin,
,Lithuanian,lietuvių,lt,lit,
,Luba-Katanga,Tshiluba,lu,lub,
,Luxembourgish,Lëtzebuergesch,lb,ltz,
,Macedonian,македонски,mk,mkd,mac
,Malagasy,Malagasy,mg,mlg,
,Malay,bahasa Malaysia,ms,msa,may
,Malayalam,മലയാളം,ml,mal,
,Maltese,Malti,mt,mlt,
,Manx,Gaelg,gv,glv,
,Maori,Māori,mi,mri,mao
,Marathi,मराठी,mr,mar,
,Marshallese,Marshallese,mh,mah,
,Modern Greek,Ελληνικά,el,ell,gre
,Mongolian,монгол,mn,mon,
,Nauru,Nauru,na,nau,
,Navajo,Diné Bizaad,nv,nav,
,Ndonga,Ndonga,ng,ndo,
,Nepali,नेपाली,ne,nep,
